DateTimeStamp,Temp,Sal,DO_obs,ATemp,BP,WSpd,Tide
1/1/2016 0:00,21.8,20.6,6.4,21.5,1019,2.3,2.59
1/1/2016 0:15,21.7,20.6,6.5,21.4,1019,2.1,2.63
1/1/2016 0:30,21.7,20.7,6.6,21.3,1019,0.8,2.69
1/1/2016 0:45,21.8,20.2,6.5,21.2,1019,0,2.76
1/1/2016 1:00,21.8,20.1,6.5,21.1,1019,1,2.83
1/1/2016 1:15,21.8,20.1,6.5,21,1018,1.1,2.93
1/1/2016 1:30,21.6,20.5,6.5,20.9,1018,1.6,3.01
1/1/2016 1:45,21.2,21.6,6.7,20.8,1018,1.1,3.1
1/1/2016 2:00,21,22,6.8,20.7,1018,2.5,3.19
1/1/2016 2:15,21,22.1,6.9,20.5,1018,2.3,3.28
1/1/2016 2:30,21,22.1,6.9,20.3,1018,1.8,3.39
1/1/2016 2:45,21,22,6.9,20.2,1018,0.9,3.5
1/1/2016 3:00,21,22.2,6.9,20,1018,2.1,3.6
1/1/2016 3:15,20.8,22.5,6.9,19.9,1018,3,3.69
1/1/2016 3:30,20.8,22.7,6.9,19.7,1018,3.6,3.79
1/1/2016 3:45,20.6,23.1,7,19.4,1018,4,3.85
1/1/2016 4:00,20.6,23.1,7,19.3,1018,3.2,3.95
1/1/2016 4:15,20.6,23,6.8,19.1,1018,3.5,4.01
1/1/2016 4:30,20.7,22.9,6.9,19,1018,3,4.05
1/1/2016 4:45,20.7,22.7,6.9,18.9,1018,2.8,4.09
1/1/2016 5:00,20.4,23.6,6.6,18.8,1018,2.6,4.12
1/1/2016 5:15,20.3,24.1,6.7,18.6,1018,3.3,4.17
1/1/2016 5:30,20.2,24.3,6.8,18.4,1018,2.7,4.19
1/1/2016 5:45,20.2,24.3,6.8,18.4,1018,3,4.2
1/1/2016 6:00,20.2,24.3,6.8,18.4,1018,2.4,4.21
1/1/2016 6:15,20.2,24.4,6.6,18.3,1018,2.2,4.2
1/1/2016 6:30,20.2,24.3,6.8,18.2,1019,2.4,4.16
1/1/2016 6:45,20.3,24.2,6.8,18.1,1019,2.4,4.14
1/1/2016 7:00,20.4,23.9,6.9,18,1019,2,4.11
1/1/2016 7:15,20.5,23.4,6.8,17.9,1019,3.5,4.04
1/1/2016 7:30,20.7,22.6,6.8,17.6,1019,4.3,3.97
1/1/2016 7:45,20.8,22.3,6.8,17.4,1019,2.4,3.89
1/1/2016 8:00,20.8,22.3,6.8,17.2,1019,1.4,3.8
1/1/2016 8:15,20.8,22.5,6.8,17,1019,0,3.7
1/1/2016 8:30,20.9,21.9,6.7,16.9,1019,0,3.6
1/1/2016 8:45,20.9,21.7,6.7,17.1,1020,1.1,3.49
1/1/2016 9:00,21,21.7,6.7,17,1020,3.1,3.38
1/1/2016 9:15,21.1,21.6,6.7,16.7,1020,3.6,3.29
1/1/2016 9:30,21.1,21.5,6.7,16.9,1020,4.1,3.22
1/1/2016 9:45,21.2,21.2,6.6,16.6,1021,4.8,3.13
1/1/2016 10:00,21.4,20.7,6.5,15.4,1021,4.8,3.07
1/1/2016 10:15,21.4,20.7,6.5,15.2,1021,3.5,3.01
1/1/2016 10:30,21.4,20.7,6.5,15.4,1021,2.1,2.95
1/1/2016 10:45,21.5,20.6,6.4,15.6,1021,2.3,2.9
1/1/2016 11:00,21.4,20.7,6.4,15.3,1021,3.4,2.85
1/1/2016 11:15,21.5,20.7,6.4,15.5,1021,2.5,2.81
1/1/2016 11:30,21.6,20.6,6.4,15.4,1020,1.8,2.79
1/1/2016 11:45,21.5,20.6,6.4,15.3,1020,0.1,2.75
1/1/2016 12:00,21.6,20.5,6.3,15.4,1020,1.3,2.73
1/1/2016 12:15,21.5,20.7,6.4,15.4,1020,3.8,2.73
1/1/2016 12:30,20.9,22,6.4,15.4,1020,3.4,2.73
1/1/2016 12:45,21,21.9,6.5,15.4,1020,1.5,2.75
1/1/2016 13:00,21.1,21.7,6.5,15.5,1019,1.3,2.78
1/1/2016 13:15,21.1,21.6,6.5,15.5,1019,2.1,2.82
1/1/2016 13:30,21.1,21.4,6.5,15.6,1019,2.9,2.88
1/1/2016 13:45,21,21.6,6.6,16,1019,3.4,2.97
